trap,strata,Achlyodes busirus,Adelpha barnesia,Adelpha basiloides,Adelpha cocala,Adelpha erotia,Adelpha heraclea,Adelpha hesterbergi,Adelpha iphiclus,Adelpha messana,Adelpha phylaca,Adelpha serpa,Adelpha zina,Aethilla echina,Ancyluris inca,Ancyluris paramba,Antirrhea philaretes,Archaeoprepona camilla,Archaeoprepona demophon,Archaeoprepona demophoon,Baeotus beotus,Bungalotis astylos,Caligo atreus,Callicore lyca,Castilia eranites,Catoblepia orgetorix,Catonephele numilia,Catonephele orites,Chalodeta lypera,Charis anius,Cissia pompilia,Cithaerias pireta,Colobura annulata,Colobura dirce,Conga chydaea,Consul panariste,Cycloglypha caeruleonigra,Cycloglypha thrasibulus,Diaethria clymena,Dione juno,Dyscophellus phraxanor,Dyscophellus porcius,Emesis mandana,Epiphile eriopis,Eresia alsina,Eresia clara,Eresia clio,Eunica alpais,Eunica norica,Euselasia eugeon,Fountainea ryphea,Haemactis sanguinalis,Haetera piera,Hamadryas amphinome,Heliconius cydno,Heliconius doris,Heliconius eleuchia,Heliconius erato,Heliconius hecalesia,Heliconius melpomene,Heliconius sara,Hermeuptychia hermes,Hesperidae sp1,Hesperidae sp3,Hesperidae sp5,Hesperidae sp6,Hesperidae sp7,Historis acheronta,Hypna clytemnestra,Lasaia agesilas,Lycaenidae sp1,Lyropteryx lyra,Marpesia merops,Megeuptychia antonoe,Memphis anna,Memphis aulica,Memphis aureola,Memphis cleomestra,Memphis dia,Memphis glauce,Memphis juliani,Memphis lyceus,Memphis nenia,Memphis offa,Metacharis umbrata,Metacharis xanthocraspedum,Milanion hemes,Morpho helenor,Morpho unidentifiable,Myscelus amystis,Naevolus orius,Nascus broteas,Nascus phintias,Necyria duellona,Neoxeniades pluviasilva,Nessaea aglaura,Nisoniades sp1,Nyctelius nyctelius,Opsiphanes bogotanus,Opsiphanes invirae,Opsiphanes quiteria,Opsiphanes tamarindi,Ouleus negrus,Perichares philetes,Periplacis sp1,Phocides metrodorus,Phocides pigmalion,Phocides thermus,Phocides vulcanides,Phyrrogyra amphiro,Pierella helvina,Pierella luna,Polythrix caunus,Potamanaxas paphos,Potamanaxas thoria,Potamanaxas unifasciata,Prepona laertes,Prepona werneri,Pyrrhogyra amphiro,Pyrrhogyra otolais,Rhetus arcius,Rhetus periander,Riodinidae sp2,Riodinidae sp3,Siderone galanthis,Taygetis rufomarginata,Telemiades epicalus,Temenis laothoe,Temenis pulchra,Thisbe irenea,Tigridia acesta,Urbanus pronta,Zaretis delassisei,Zaretis isidora
1,canopy,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,3,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,4,0,0,0,0,0,0,0,2,5,0,0,0,0,0
3,canopy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,13,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,12,0,0,0,0,0,0,0,0,8,0,0,0,0,0
5,canopy,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0
7,canopy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,5,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,9,0,1,0,0,0,0,0,3,2,0,0,0,0,1
13,canopy,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
15,canopy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
17,canopy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,2,1,0,0,0,2,1,0,10,0,0,4,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,4,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,2,11,0,1,0,0,0,0,0,3,0,2,0,0,1,1
19,canopy,1,0,0,1,0,1,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,7,1,0,0,0,0,0,0,0,3,1,1,2,0,0,1
21,canopy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,11,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,4,0,1,0,0,0,0,0,6,11,0,0,0,0,0
25,canopy,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,10,0,11,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
27,canopy,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,canopy,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,5,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,canopy,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0
